iddesa,pop2020
1101010001,276
1101010001,515
1101010002,489
1101010003,598
1101010004,392
1101010005,480
1101010006,311
1101010007,470
1101010008,325
1101010009,403
1101010010,628
1101010011,1224
1101010012,345
1101010013,818
1101010014,575
1101010015,419
1101010016,154
1101010017,313
1101010018,295
1101010019,1322
1101020022,1306
1101020023,1412
1101020024,597
1101020025,997
1101020026,1661
1101020027,2548
1101020028,5210
1101020029,2734
1101020030,4045
1101020031,1297
1101020032,1601
1101020035,500
1101020036,374
1101020037,481
1101020038,588
1101020039,896
1101020040,352
1101021001,891
1101021002,394
1101021003,544
1101021004,529
1101021005,383
1101021006,754
1101021007,232
1101021008,594
1101021009,195
1101021010,616
1101021011,487
1101021012,316
1101021013,224
1101021014,450
1101021015,323
1101021016,368
1101021017,359
1101021018,579
1101022001,682
1101022002,299
1101022003,551
1101022004,366
1101022005,392
1101022006,486
1101022007,952
1101022008,558
1101022009,798
1101022010,685
1101022011,245
1101022012,361
1101030001,782
1101030002,526
1101030003,378
1101030004,1997
1101030005,146
1101030006,164
1101030007,158
1101030008,407
1101030009,337
1101030020,334
1101030021,568
1101030022,240
1101030023,228
1101030024,295
1101030025,391
1101030026,250
1101031001,417
1101031002,382
1101031003,490
1101031004,340
1101031005,974
1101031006,669
1101031007,703
1101031008,575
1101031009,659
1101031010,309
1101032001,532
1101032002,426
1101032003,560
1101032004,405
1101032005,473
1101032006,391
1101032007,286
1101032008,545
1101040001,767
1101040002,858
1101040003,1075
1101040004,535
1101040005,441
1101040006,550
1101040007,519
1101040008,473
1101040009,561
1101040010,596
1101040011,353
1101040012,436
1101040013,682
1101040014,224
1101040015,203
1101040016,873
1101050007,979
1101050008,640
1101050009,1033
1101050010,786
1101050011,1440
1101050012,1165
1101050013,1260
1101050014,942
1101050015,646
1101050016,360
1101050017,544
1101050018,530
1101050019,565
1101050020,674
1101051001,365
1101051002,650
1101051003,835
1101051004,296
1101051005,567
1101051006,504
1101051007,1037
1101051008,1545
1102010003,1927
1102010004,1090
1102010005,786
1102011001,1152
1102011002,867
1102011003,273
1102011004,5429
1102020003,1324
1102020004,1863
1102020005,339
1102020006,1572
1102020007,889
1102020009,653
1102020010,968
1102020011,701
1102020012,689
1102020013,593
1102020014,409
1102020015,763
1102020019,1017
1102020020,1773
1102020021,758
1102020022,1061
1102021001,934
1102021002,1626
1102021003,1664
1102021004,1856
1102021005,2314
1102021006,1078
1102021007,222
1102022001,791
1102022002,929
1102022003,613
1102022004,382
1102030017,251
1102030026,591
1102030027,822
1102030028,876
1102030029,647
1102030030,565
1102030031,1586
1102030032,1436
1102030033,1540
1102030034,531
1102030035,110
1102030036,263
1102030038,797
1102030039,416
1102030040,573
1102030041,885
1102030042,286
1102030043,265
1102030044,293
1102030048,150
1102030049,103
1102030050,1155
1102030051,446
1102030052,779
1102030053,361
1102031001,554
1102031002,568
1102031003,294
1102031004,537
1102031005,3206
1102031006,2806
1102031007,2558
1102031008,3283
1102031009,1907
1102031010,353
1102031011,590
1102031012,1619
1102031013,2004
1102031014,2496
1102031015,2967
1102031016,1068
1102031017,2745
1102031018,3109
1102031019,1633
1102031020,567
1102031021,3719
1102031022,177
1102031023,272
1102031024,164
1102031025,3082
1102032001,839
1102032002,612
1102032003,779
1102032004,1619
1102032005,770
1102032006,182
1102032007,1382
1102033001,324
1102033002,512
1102033003,691
1102033004,368
1102033005,1991
1102033006,407
1102033007,518
1102033008,1283
1102033009,616
1102033010,573
1102033011,322
1102033012,1318
1102042001,622
1102042002,1714
1102042003,2184
1102042004,209
1102042005,908
1102042006,310
1102042007,360
1102043001,1601
1102043002,484
1102043003,817
1102043004,609
1102043005,300
1102043006,574
1102043007,558
1102043008,1239
1102043009,64
1102043010,477
1103010001,264
1103010002,102
1103010003,603
1103010004,311
1103010005,776
1103010009,1362
1103010010,324
1103010011,680
1103010012,359
1103010013,329
1103010027,438
1103010030,280
1103011001,204
1103011002,468
1103011003,1287
1103011008,1812
1103011009,1771
1103011010,1875
1103011011,831
1103011012,424
1103012001,842
1103012002,416
1103012003,705
1103012004,388
1103012005,2094
1103012006,603
1103012007,548
1103012008,230
1103012009,442
1103012010,714
1103020001,1282
1103020002,328
1103020003,653
1103020014,472
1103020015,1103
1103020023,812
1103020024,543
